_pathTag,"Test Case Description",Priority,"Can Automate","Is Automated","Validation points","Test Step Description"
Grid/Column,"Copy column have data type is ""Single Selection"" to ""localization"" have localization type is ""Target language""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Single Selection&quot;</li><li>Paste column header to column have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li>"
Grid/Column,"Copy column have data type is ""Date time"" to ""Single Line""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Date time&quot;</li><li>Paste column header to column have data type is &quot;Single column&quot;</li>"
Grid/Column,"Copy column have data type is ""Date time"" to ""Multiple line""",Medium,false,false,,"<p>Access to &quot;workspace&quot; screen.</p><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Date time&quot;</li><li>Paste column header to column have data type is &quot;Multiple lines&quot;</li>"
Grid/Column,"Copy column have data type is ""Date time"" to ""Rich text""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Date time&quot;</li><li>Paste column header to column have data type is &quot;Rich text&quot;</li>"
Grid/Column,"Copy column have data type is ""Date time"" to ""Number""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Date time&quot;</li><li>Paste column header to column have data type is &quot;Number&quot;</li>"
Grid/Column,"Copy column have data type is ""Date time"" to ""Single Selection""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Date time&quot;</li><li>Paste column header to column have data &quot;Singes selection&quot;</li>"
Grid/Column,"Copy column have data type is ""Date time"" to ""localization"" have localization type is ""Target language""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Date time&quot;</li><li>Paste column header to column have data &quot;Singes selection&quot;</li>"
Grid/Column,"Copy column have data type is ""Date time"" to ""localization"" have localization type is ""Source language""",Medium,false,false,,"<p>Access to &quot;workspace&quot; screen.</p><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Date time&quot;</li><li>Paste column header to column have data &quot;Singes selection&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Source language"" to ""Single Line""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Paste column header to column have data &quot;Singes selection&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Source language"" to ""Multiple lines""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Paste column header to column have data &quot;Multiple lines.&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Source language"" to ""Number""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Paste column header to column have data &quot;Number&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Source language"" to ""Rich text""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Paste column header to column have data &quot;Rich text&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Source language"" to ""single selection""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Paste column header to column have data &quot;Singes selection&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Source language"" to ""Date time""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Paste column header to column have data &quot;Date time&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Source language"" to ""localization"" have localization type is ""Target language""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Paste column header to column have data &quot;Localization&quot; and localization is &quot;Target language&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Target language"" to ""Single Line""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li><li>Paste column header to column have data &quot;Single line&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Target language"" to ""Multiple Lines""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li><li>Paste column header to column have data &quot;Multiple lines&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Target language"" to ""Rich text""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li><li>Paste column header to column have data &quot;Rich text&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Target language"" to ""Single Selection""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li><li>Paste column header to column have data &quot;Single selection&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Target language"" to ""Number""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li><li>Paste column header to column have data &quot;Number&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Target language"" to ""Date time""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li><li>Paste column header to column have data &quot;Date time&quot;</li>"
Grid/Column,"Copy column have data type is ""Localization"" have localization type is ""Source language"" to ""localization"" have localization type is ""Source language""",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li><li>Paste column header to column have data &quot;Localization&quot; and localization type is &quot;Source language&quot;</li>"
Permission,"Verify user can use quick sort a-z for column 'Single line'",High,true,false,,"<li>Access to the Gird</li><li>Select column to use quick sort have data type is &quot;Single line&quot;</li><li>Click on the &quot;Quick sort&quot; icon</li><li>Select &quot;a-z&quot; icon to sort column to a-z</li>"
Permission,"Verify user can use quick sort a-z for column 'Multiple lines'
",High,true,false,,"<li>Access to the Gird</li><li>Select column to use quick sort have data type is &quot;Multiple lines&quot;</li><li>Click on the &quot;Quick sort&quot; icon</li><li>Select &quot;a-z&quot; icon to sort column to a-z</li>"
Permission,"Verify user can use quick sort a-z for column 'Markdown'
",High,true,false,,"<li>Access to the Gird</li><li>Select column to use quick sort have data type is &quot;Rich text&quot;</li><li>Click on the &quot;Quick sort&quot; icon</li><li>Select &quot;a-z&quot; icon to sort column to a-z</li>"
Permission,"Verify user can use quick sort a-z for column 'Rich text'
",High,true,false,,"<li>Access to the Gird</li><li>Select column to use quick sort have data type is &quot;Rich text&quot;</li><li>Click on the &quot;Quick sort&quot; icon</li><li>Select &quot;z-a&quot; icon to sort column to z-a</li>"
Permission,"Verify user can use quick sort a-z for column 'Number'
",High,true,false,,"<li>Access to the Gird</li><li>Select column to use quick sort have data type is &quot;Number&quot;</li><li>Click on the &quot;Quick sort&quot; icon</li><li>Select &quot;a-z&quot; icon to sort column to a-z</li>"
Permission,"Verify user can use quick sort a-z for column 'Single selection'
",High,true,false,,"<li>Access to the Gird</li><li>Select column to use quick sort have data type is &quot;Single selection&quot;</li><li>Click on the &quot;Quick sort&quot; icon</li><li>Select &quot;a-z&quot; icon to sort column to a-z</li>"
Permission,"Verify user can use quick sort a-z for column 'Multiple selections'
",High,true,false,,"<li>Access to the Gird</li><li>Select column to use quick sort have data type is &quot;Date time&quot;</li><li>Click on the &quot;Quick sort&quot; icon</li><li>Select &quot;a-z&quot; icon to sort column to a-z</li>"
Permission,"Verify user can use quick sort a-z for column 'Datetime'
",High,true,false,,"<li>Access to the Gird</li><li>Select column to use quick sort have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Click on the &quot;Quick sort&quot; icon</li><li>Select &quot;a-z&quot; icon to sort column to a-z</li>"
Permission,"Verify user can use quick sort a-z for column 'Files'
",High,true,false,,"<li>Access to the Gird</li><li>Select column to use quick sort have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li><li>Click on the &quot;Quick sort&quot; icon</li><li>Select &quot;a-z&quot; icon to sort column to a-z</li>"
Permission,"Verify user can use quick sort a-z for column 'Boolean'
",High,true,false,,"<li>Access to the Gird</li><li>Select column to use quick sort have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Click on the &quot;Quick sort&quot; icon</li><li>Select &quot;z-a&quot; icon to sort column to z-a</li>"
Permission,"Verify user can use quick sort a-z for column 'Json'
",High,true,false,,"<li>Access to the Gird</li><li>Select column to use quick sort have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li><li>Click on the &quot;Quick sort&quot; icon</li><li>Select &quot;z-a&quot; icon to sort column to z-a</li>"
Grid/Column,"Hide ""Single Line"" column",Medium,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Single Line&quot;</li><li>Click on the &quot;Down arrow&quot; button</li><li>Select &quot;Hide column&quot;</li>"
Grid/Column,"Hide ""Multiple Lines"" column",Medium,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Multiple lines&quot;</li><li>Click on the &quot;Down arrow&quot; button</li><li>Select &quot;Hide column&quot;</li>"
Grid/Column,"Hide ""Rich text"" column",Medium,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Rich text&quot;</li><li>Click on the &quot;Down arrow&quot; button</li><li>Select &quot;Hide column&quot;</li>"
Grid/Column,"Hide ""Number"" column",Medium,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Number&quot;</li><li>Click on the &quot;Down arrow&quot; button</li><li>Select &quot;Hide column&quot;</li>"
Grid/Column,"Hide ""Single Selection"" column",Medium,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Single Selection&quot;</li><li>Click on the &quot;Down arrow&quot; button</li><li>Select &quot;Hide column&quot;</li>"
Grid/Column,"Hide ""Date time"" column",Medium,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Date time&quot;</li><li>Click on the &quot;Down arrow&quot; button</li><li>Select &quot;Hide column&quot;</li>"
Grid/Column,"Hide ""Localization"" column have localization type is ""Source Language""",Medium,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Click on the &quot;Down arrow&quot; button</li><li>Select &quot;Hide column&quot;</li>"
Grid/Column,"Hide ""Localization"" column have localization type is ""Target Language""",Medium,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li><li>Click on the &quot;Down arrow&quot; button</li><li>Select &quot;Hide column&quot;</li>"
Grid/Column,"Verify 'Owner' can delete any columns",High,true,,,
Grid/Column,"Verify 'Admin' can delete any columns",High,true,false,,
Grid/Column,"Verify 'Creator' can delete any columns",High,true,false,,
Grid/Column,"Delete ""Localization"" column have localization type is ""Source Language""",High,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Localization&quot; and localization type is &quot;Source language&quot;</li><li>Click on the &quot;Down arrow&quot; button</li><li>Select &quot;Delete column&quot;</li>"
Grid/Column,"Delete ""Localization"" column have localization type is ""Target Language""",High,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Localization&quot; and localization type is &quot;Target language&quot;</li><li>Click on the &quot;Down arrow&quot; button</li><li>Select &quot;Delete column&quot;</li>"
Permission,"Verify 'Owner' can use text wrapping for a cell",Medium,true,false,,"<li>Access to the Gird</li><li>Select column have data type is &quot;Single column&quot; by click on column header</li><li>Click on the &quot;Text wrapping&quot; button</li>"
Permission,"Verify 'Owner' can use text wrapping for a cell range",Medium,true,,,
Permission,"Verify 'Owner' can use text wrapping for single record",Medium,true,,,
Permission,"Verify 'Owner' can use text wrapping for multiple rows",Medium,true,false,,"<li>Access to the Gird</li><li>Select multiple rows you want to &quot;Text wrapping&quot; by click on header of row + press &quot;Ctrl&quot; or &quot;Shift&quot; </li><li>Right click on header of row and select &quot;Text wrapping&quot;</li>"
Grid/Dependency,"Delete dependency",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to delete</li><li>Click on the &quot;X&quot; button to delete the dependency you want to delete</li>"
Grid/Dependency,"Update data type for column in field ""To""",Medium,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select new column for &quot;To&quot; flied</li>"
Grid/Dependency,"Update data type for column in field ""From""",Medium,false,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select new column for &quot;From&quot; flied</li>"
Grid/Dependency,"Add new dependence with Form column have type ""Single line"" and To column have data type ""Single Line""",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single line&quot;</li><li>Select &quot;To&quot; column have type  &quot;Single Line&quot;</li>"
Grid/Dependency,"Add new dependence with Form column have type ""Single line"" and To column have data type ""Multiple Lines""",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single line&quot;</li><li>Select &quot;To&quot; column have type  &quot;Multiple lines&quot;</li>"
Grid/Dependency,"Add new dependence with Form column have type ""Single line"" and To column have data type ""Rich text""",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single line&quot;</li><li>Select &quot;To&quot; column have type  &quot;Rich text&quot;</li>"
Grid/Dependency,"Add new dependence with Form column have type ""Single line"" and To column have data type ""Number""",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single line&quot;</li><li>Select &quot;To&quot; column have type  &quot;Number&quot;</li>"
Grid/Dependency,"Add new dependence with Form column have type ""Single line"" and To column have data type ""Single Selection""",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single line&quot;</li><li>Select &quot;To&quot; column have type  &quot;Single Selection&quot;</li>"
Grid/Dependency,"Add new dependence with Form column have type ""Single line"" and To column have data type ""Date time""",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single line&quot;</li><li>Select &quot;To&quot; column have type  &quot;Date time&quot;</li>"
Grid/Dependency,"Add new dependence with Form column have type ""Single line"" and To column have data type ""Localization"" and localization type is ""Source language""",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single line&quot;</li><li>Select &quot;To&quot; column have type  &quot;Localization&quot; and localization type is &quot;Source language&quot;</li>"
Grid/Dependency,"Add new dependence with Form column have type ""Single line"" and To column have data type ""Localization"" and localization type is ""Target language""",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single line&quot;</li><li>Select &quot;To&quot; column have type  &quot;Localization&quot; and localization type is &quot;Target language&quot;</li>"
Grid/Dependency,"Add new dependence with Form column have type ""Multiple lines"" and To column have data type ""Single Line""",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Multiple lines&quot;</li><li>Select &quot;To&quot; column have type  &quot;Single line&quot;</li>"
Grid/Dependency,"Add new dependence with Form column have type ""Multiple lines"" and To column have data type ""Multiple lines""",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Multiple lines&quot;</li><li>Select &quot;To&quot; column have type  &quot;Multiple lines&quot;</li>"
Grid/Dependency,"Add new dependence with Form column have type ""Multiple lines"" and To column have data type ""Rich text""",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Multiple lines&quot;</li><li>Select &quot;To&quot; column have type  &quot;Rich text&quot;</li>"
Permission,"Verify 'Owner' can create grid",High,true,true,,
Permission,"Verify 'Owner' can create grid by uploading Localization file",High,true,true,,
Permission,"Verify 'Admin' can create grid by uploading Localization file",High,true,true,,
Permission,"Verify 'Creator' can create grid by uploading Localization file",High,true,true,,
Permission,"Verify 'Owner' can create grid by uploading (.XLSX, .XLS, CSV) file",High,true,true,,
Permission,"Verify 'Owner' can rename grid ",High,true,true,,
Permission,"Verify 'Owner' can delete grid",High,true,true,,"<li>Access to the workspace screen</li><li>Select database contain the grid you want to Delete</li><li>Select grid and click on &quot;Down arrow&quot; icon </li><li>Click on &quot;Delete&quot; button</li>"
Grid/Column,"Create column ""Single Line""",High,true,true,,"<li>Access to the grid</li><li>Click on &quot;Create column&quot; icon</li><li>Select data type is &quot;Single Line&quot; and click on &quot;Save&quot; button </li>"
Grid/Column,"Create column ""Multiples Line""",High,true,true,,"<li>Access to the grid</li><li>Click on &quot;Create column&quot; icon</li><li>Select data type is &quot;Multiple line&quot;and click on &quot;Save&quot; button </li>"
Grid/Column,"Create column 'Markdown'",High,true,true,,
Grid/Column,"Create column ""Rich Text""",High,true,true,,"<li>Access to the grid</li><li>Click on &quot;Create column&quot; icon</li><li>Select data type is &quot;Rich text&quot;and click on &quot;Save&quot; button </li>"
Grid/Column,"Create column ""Number""",High,true,true,,"<li>Access to the grid</li><li>Click on &quot;Create column&quot; icon</li><li>Select data type is &quot;Number&quot;and click on &quot;Save&quot; button </li>"
Grid/Column,"Create column ""Single Selection""",High,true,true,,"<li>Access to the grid</li><li>Click on &quot;Create column&quot; icon</li><li>Select data type is &quot;Single Selection&quot;and click on &quot;Save&quot; button </li>"
,"Create column 'Multiple Selections'",High,true,true,,
Grid/Column,"Create column ""Date Time""",High,true,false,,"<li>Access to the grid</li><li>Click on &quot;Create column&quot; icon</li><li>Select data type is &quot;date time&quot;and click on &quot;Save&quot; button </li>"
Grid/Column,"Create column have data type is ""Localization"" and Localization type is ""Source language""",High,true,true,,"<li>Access to the grid</li><li>click on &quot;Create column&quot; icoicon</li><li>Select data type is  &quot;Localization&quot; icon</li><li>Select localization type is &quot; Sourrce language&quot;cick on &quot;Save&quot; button.</li>"
Grid/Column,"Create column have data type is ""Localization"" and Localization type is ""Target language""",High,true,true,,"<li>Access to the grid</li><li>Click on &quot;Localization&quot; icon</li><li>Select data type is &quot;localization&quot;, localization type is &quot; taget language&quot;cick on &quot;Save&quot; button </li>"
Grid/Dependency,"Add new dependency with from column is 'Rich text' and to column is 'Single line'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Rich text&quot;</li><li>Select &quot;To&quot; column have type  &quot;Single line&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Rich text' and to column is 'Multiple lines'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Rich text&quot;</li><li>Select &quot;To&quot; column have type  &quot;Multiple line&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Rich text' and to column is 'Rich Text'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Rich text&quot;</li><li>Select &quot;To&quot; column have type  &quot;Rich text&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Rich text' and to column is 'Single Selection'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Rich text&quot;</li><li>Select &quot;To&quot; column have type  &quot;Single Selection&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Rich text' and to column is 'Number'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Rich text&quot;</li><li>Select &quot;To&quot; column have type  &quot;Number&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Rich text' and to column is 'Date time'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Rich text&quot;</li><li>Select &quot;To&quot; column have type  &quot;Date time&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Rich text' and to column is 'Localization' and localization type is 'Source language'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Rich text&quot;</li><li>Select &quot;To&quot; column have type  &quot;localization&quot; and localization type is &quot;Source language&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Rich text' and to column is 'Localization' and localization type is 'Target language'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Rich text&quot;</li><li>Select &quot;To&quot; column have type  &quot;localization&quot; and localization type is &quot;Target language&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Number' and to column is 'Single line'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Number&quot;</li><li>Select &quot;To&quot; column have type  &quot;Single Line&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Number' and to column is 'Multiple line'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Number&quot;</li><li>Select &quot;To&quot; column have type  &quot;Multiple lines&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Number' and to column is 'Rich text'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Number&quot;</li><li>Select &quot;To&quot; column have type  &quot;Rich text&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Number' and to column is 'Number'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Number&quot;</li><li>Select &quot;To&quot; column have type  &quot;Number&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Number' and to column is 'Date time'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Number&quot;</li><li>Select &quot;To&quot; column have type  &quot;Date time&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Number' and to column is 'Single Selection'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Number&quot;</li><li>Select &quot;To&quot; column have type  &quot;Single Selection&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Number' and to column is 'localization' and localization type is 'Source language'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Number&quot;</li><li>Select &quot;To&quot; column have type  &quot;Localization&quot; and localization type is &quot;Source language&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Number' and to column is 'localization' and localization type is 'Target language'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Number&quot;</li><li>Select &quot;To&quot; column have type  &quot;Localization&quot; and localization type is &quot;Target language&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Single Selection' and to column is 'Single line'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single Selection&quot;</li><li>Select &quot;To&quot; column have type  &quot;Single line&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Single Selection' and to column is 'Multiple lines'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single Selection&quot;</li><li>Select &quot;To&quot; column have type  &quot;Multiple line&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Single Selection' and to column is 'Rich text'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single Selection&quot;</li><li>Select &quot;To&quot; column have type  &quot;Rich text&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Single Selection' and to column is 'Number'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single Selection&quot;</li><li>Select &quot;To&quot; column have type  &quot;Number&quot;</li>"
Grid/Dependency,"Add new dependency with from column is 'Single Selection' and to column is 'Single Selection'",High,true,false,,"<li>Access to the Gird</li><li>Click on the &quot;Dependency&quot; button </li><li>Select dependency you want to update</li><li>Select &quot;From&quot; column have type &quot;Single Selection&quot;</li><li>Select &quot;To&quot; column have type  &quot;Single Selection&quot;</li>"
